Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP,ERA,WHIP,SO9,IF/FB,GO/AO
1942,28,811,28.1,4.17,2883,38.14,34.03,4.17,8.61,6.51,1.38,0.30,0.42,3.83,0.41,0.25,3.37,2.89,0.253,0.322,0.348,0.670,11.85,,0.12,0.60,,0.22,30.72,3.54,1.344,3.6,,1.017
1941,28,816,27.9,4.52,2927,38.46,34.23,4.52,8.96,6.54,1.54,0.37,0.51,4.14,0.40,0.23,3.47,3.02,0.262,0.332,0.373,0.705,12.76,0.65,0.14,0.60,,0.25,30.70,3.92,1.408,3.8,,1.02
1940,29,833,27.9,4.77,2962,38.48,34.41,4.77,9.20,6.63,1.60,0.38,0.59,4.37,0.43,0.25,3.36,3.06,0.267,0.335,0.388,0.723,13.36,0.62,0.16,0.53,0.00,0.23,30.76,4.21,1.427,3.9,,1.04
1939,30,814,28.1,4.86,2840,38.65,34.33,4.86,9.41,6.86,1.61,0.37,0.57,4.48,0.43,0.23,3.40,2.99,0.274,0.342,0.393,0.734,13.48,,0.12,0.77,,0.21,30.77,4.27,1.449,3.6,,1.018
1938,30,830,28.2,4.96,2936,38.66,34.43,4.96,9.40,6.83,1.60,0.40,0.57,4.60,0.42,0.22,3.45,2.84,0.273,0.342,0.393,0.734,13.51,,0.15,0.62,,0.20,31.02,4.30,1.464,3.7,,1.066
1937,30,824,28.1,5.01,2965,38.64,34.53,5.01,9.55,6.90,1.66,0.43,0.56,4.60,0.45,0.28,3.32,3.04,0.277,0.343,0.398,0.741,13.75,,0.14,0.63,,0.20,30.93,4.34,1.465,3.9,,1.096
1936,23,633,28.4,5.26,2784,39.42,35.21,5.26,10.00,7.27,1.77,0.40,0.56,4.86,0.41,0.26,3.39,2.96,0.284,0.350,0.404,0.754,14.24,,0.17,0.63,,0.20,31.69,4.56,1.509,3.5,,1.07
1935,24,660,28.3,5.04,2830,39.08,35.03,5.04,9.80,7.10,1.74,0.42,0.54,4.66,0.41,0.25,3.20,2.83,0.280,0.343,0.400,0.743,14.00,,0.16,0.68,,0.18,31.66,4.34,1.467,3.4,,1.021
1934,24,652,28.5,4.90,2746,38.78,34.83,4.90,9.69,7.10,1.71,0.36,0.52,4.56,0.39,0.24,3.16,3.07,0.278,0.341,0.393,0.734,13.69,,0.14,0.64,,0.17,31.24,4.26,1.456,3.6,,1.053
1933,25,626,28.5,4.55,2734,38.50,34.66,4.55,9.36,6.92,1.59,0.42,0.43,4.21,0.39,0.28,2.93,2.72,0.270,0.330,0.377,0.707,13.07,,0.15,0.73,,0.13,31.51,3.85,1.381,3.2,,1.081
