Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
1899,12,310,27.9,5.25,1842,70016,62846,9672,17741,14177,2201,1011,352,7997,2668,,4979,3849,0.282,0.343,0.366,0.71,23020,,868,1323,,,58645
1898,12,299,28.1,4.96,1840,69964,62661,9129,16955,13668,2088,900,299,7630,2069,,5092,4223,0.271,0.334,0.347,0.681,21740,,865,1346,,,58139
1897,12,263,28.1,5.91,1614,63272,56663,9536,16522,12868,2322,964,368,8014,2705,,4729,3729,0.292,0.354,0.386,0.74,21876,,750,1130,,,52566
1896,12,272,28.1,6.04,1584,62230,55577,9560,16141,12565,2166,1006,404,8045,3059,,4854,3523,0.29,0.354,0.387,0.742,21531,,636,1163,,,51650
1895,12,284,27.9,6.6,1594,63573,56788,10514,16827,12928,2414,997,488,8806,2895,,5120,3621,0.296,0.361,0.4,0.761,22699,,668,997,,,52679
1894,12,264,27.8,7.39,1596,65205,57577,11796,17809,13127,2753,1300,629,9983,3148,,5870,3333,0.309,0.379,0.435,0.814,25049,,602,1156,,,53615
1893,12,260,27.8,6.57,1570,63680,56898,10315,15913,12209,2197,1047,460,8556,2752,,6143,3341,0.28,0.356,0.379,0.736,21584,,639,,,,53097
1892,12,265,27.5,5.11,1836,70615,63876,9388,15643,12209,2007,1010,417,7360,3201,,6178,5972,0.245,0.317,0.328,0.644,20921,,561,,,,57487
1891,17,359,27.3,5.7,2216,86680,77660,12635,19709,15224,2631,1269,585,9964,4165,,8035,7656,0.254,0.331,0.343,0.674,26633,,985,,,,69419
1890,25,510,27,6.02,3218,126310,113243,19383,29472,22603,4210,1895,764,14750,6871,,11723,6587,0.26,0.337,0.351,0.688,39764,,1344,,,,105892
1889,16,322,26.8,5.97,2176,84553,76478,12986,20170,15405,3015,1083,667,10227,4816,,7316,7669,0.264,0.334,0.358,0.692,27352,,759,,,,68142
1888,16,332,26.8,4.88,2180,80990,75439,10628,18000,13974,2451,1054,521,8036,5260,,4727,8213,0.239,0.291,0.32,0.611,24122,,824,,,,66705
1887,16,316,26.7,6.35,2112,81534,74735,13417,20234,15142,3088,1398,606,10393,6345,,6053,5924,0.271,0.332,0.374,0.705,27936,,746,,,,68205
1886,16,325,26.8,5.49,2098,78790,72927,11512,17974,13727,2679,1155,413,8239,3243,,5554,4248,0.246,0.303,0.332,0.634,24202,,309,,,,68266
1885,16,321,26.7,5.22,1780,66588,62725,9292,15305,11824,2193,965,323,6488,,,3530,3337,0.244,0.288,0.325,0.613,20397,,333,,,,59065
